_id,author_name,cover_type,name,num_page,price,provider,publisher,release_year,size,url,weight
629cf7ac56a95be487d01769,TRẦN THỊ TUYẾT OANH,Bìa mềm,Đánh giá kết quả học tập,208,45.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2016, (cm),https://book365.vn/sach/1129159_danh-gia-ket-qua-hoc-tap.html,400 (g)
629cf7ac56a95be487d01772,VŨ DŨNG,Bìa mềm,Giáo trình Tâm Lí học quản lí,352,75.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2017, (cm),https://book365.vn/sach/1129109_giao-trinh-tam-li-hoc-quan.html,450 (g)
629cf7ac56a95be487d01773,TRẦN THỊ TUYẾT OANH,Bìa mềm,Giáo dục học - Tập 2,207,35.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2016, (cm),https://book365.vn/sach/1129125_giao-duc-hoc-tap-2.html,450 (g)
629cf7ac56a95be487d01774,ĐẶNG DUY LỢI,Bìa mềm,Giáo trình biến đổi khí hậu,204,60.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2016, (cm),https://book365.vn/sach/1127871_giao-trinh-bien-doi-khi.html,350 (g)
629cf7ac56a95be487d0177a,PHẠM THỊ HOÀ,Bìa mềm,Giáo dục âm nhạc - Tập 1,170,28.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2015, (cm),https://book365.vn/sach/1129207_giao-duc-am-nhac-tap.html,350 (g)
629cf7ac56a95be487d01793,NGUYỄN ÁNH TUYẾT,Bìa mềm,Phương pháp nghiên cứu khoa học giáo dục mầm non,140,40.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2018,17 x 24 (cm),https://book365.vn/sach/87353_phuong-phap-nghien-cuu-khoa.html,200 (g)
629cf7ac56a95be487d017a9,TẠ THUÝ LAN,Bìa mềm,Sinh Lí học thần kinh - tập 1,296,59.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2015, (cm),https://book365.vn/sach/1129071_sinh-li-hoc-than-kinh-tap.html,400 (g)
629cf7ac56a95be487d017b0,Vũ Trọng Phụng,Bìa mềm,Số Đỏ (Tái Bản),256,63.000,Minh Long Book,Văn học,2021,20x15x1 (cm),https://book365.vn/sach/1161688_so-do-(tai-ban).html,300 (g)
629cf7ac56a95be487d017be,Min Woo,Bìa mềm,Sương khói đông kinh,596,250.000,Wiselands,Hội Nhà Văn,2022, (cm),https://book365.vn/sach/1158659_suong-khoi-dong-kinh.html,450 (g)
629cf7ac56a95be487d017c8,"Úy Kiến Văn, Người dịch: Vũ Thị Thìn",Bìa mềm,Chuyển đổi và thúc đẩy: Giải mã quá trình đô thị hóa kiểu mới của Trung Quốc (Sách tham khảo),351,146.000,Đánh giá gian hàng,Nhà xuất bản Chính trị quốc gia Sự thật,2022, (cm),https://book365.vn/sach/1162885_chuyen-doi-va-thuc-day-.html,2 (g)
629cf7ac56a95be487d017ce,Osho,Bìa mềm,Osho - Như Chim Sải Cánh ,496,179.000,Liên Việt Books,Hồng Đức,2022,21x13.5x2 (cm),https://book365.vn/sach/1162877_osho-nhu-chim-sai-canh-.html,500 (g)
