_id,author_name,cover_type,image_url,name,num_page,price,provider,publisher,release_year,size,url
629c96bceaed391bd553ff8e,Nhiều Tác Giả,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/i/m/image_196268.jpg,Luyện Tập Tiếng Việt 4 - Tập 1 (Trình Bày Trên Giấy Ôli) (2020),72,25.0,Cấp 1,NXB Giáo Dục Việt Nam,2020,24 x 17 x 0.5 cm,https://www.fahasa.com/luyen-tap-tieng-viet-4-1-oli-t0.html
629c96bceaed391bd553ffa0,Hoàng Hải vân,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/i/m/image_197602.jpg,Vở Luyện Viết Lớp 1 - Tập 2 (Bộ Sách Kết Nối Tri Thức Với Cuộc Sống),45,26.0,Cấp 1,NXB Đồng Nai,2020,24 x 17 cm,https://www.fahasa.com/vo-luyen-viet-lop-1-tap-2-bo-sach-ket-noi-tri-thuc-voi-cuoc-song.html
629c96bceaed391bd553ffa3,Fuku Mitsu,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/i/m/image_198768.jpg,Ehon Đi Đâu Thế: Bạn Sao Đi Đâu Rồi Nhỉ? (Từ 0 - 6 Tuổi),24,39.0,Cty TNHH Sách WABOOKS,NXB Lao Động - Xã Hội,2019,20 x 20 cm,https://www.fahasa.com/ehon-di-dau-the-ban-sao-di-dau-roi-nhi.html
629c96bceaed391bd553ffad,Đỗ Xuân Hưng,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/i/m/image_214849.jpg,Bồi Dưỡng Hoá Học 9 (Theo Chủ Đề) - Tái Bản,223,67.0,Cấp 2,NXB Đại Học Sư Phạm,2020,24 x 17 x 0.7 cm,https://www.fahasa.com/boi-duong-hoa-hoc-9-theo-chu-de-329605.html
629c96bceaed391bd553ffb8,Yoichi Takahashi,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/t/s/tsubasa---giac-mo-san-co-tap-13.jpg,Tsubasa - Giấc Mơ Sân Cỏ - Tập 13: Mùa Hè Đã Tới!!,184,20.0,Nhà Xuất Bản Kim Đồng,NXB Kim Đồng,2020,17.6 x 11.3 cm,https://www.fahasa.com/tsubasa-giac-mo-san-co-tap-13-mua-he-da-toi.html
629c96bceaed391bd553ffba,"Lê Ngọc Điệp, Mai Nhị Hà",Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/i/m/image_217666.jpg,Em Tập Viết Đúng Viết Đẹp Lớp 1 - Tập 2 (Theo Bộ Kết Nối Tri Thức Với Cuộc Sống),64,20.0,Cấp 1,NXB Giáo Dục Việt Nam,2020,24 x 27 x 0.6 cm,https://www.fahasa.com/em-tap-viet-dung-viet-dep-lop-1-2-theo-bo-ket-noi-tri-thuc-voi-cuoc-song.html
629c96bceaed391bd553ffc3,Trần Anh Tuấn,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/i/m/image_306.png,Vocab Go Học Nhanh Toàn Diện Từ Vựng Tiếng Anh 3,144,99.0,Cấp 1,NXB Đại Học Quốc Gia Hà Nội,2020,27 x 19 cm,https://www.fahasa.com/vocab-go-hoc-nhanh-toan-dien-tu-vung-tieng-anh-3.html
629c96bceaed391bd553ffcb,Kawachan,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/i/m/image_219465.jpg,Ehon Kỹ Năng Sống - Cùng Con Học Cách Cư Xử - Vui Lên Nào Sư Tử Con! (Từ 1 - 6 Tuổi),28,39.0,Công ty Cổ Phần sách và Thiết bị Giáo dục Muki Việt Nam,NXB Lao Động,2020,20 x 20 x 0.3 cm,https://www.fahasa.com/cu-ng-con-ho-c-ca-ch-cu-xu-vui-len-na-o-su-tu-con.html
629c96bceaed391bd553fc39,"Hiraki Kazuo, RoRon",Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/z/3/z3252468454537_7f949eee8706b1692c2c8c2416f1e40b.jpg,Ehon - Úm Ba La,28,39.0,Cty TNHH Sách WABOOKS,NXB Lao Động - Xã Hội,2020,20 x 20 x 0.3,https://www.fahasa.com/ehon-um-ba-la.html
629c96bceaed391bd553fc3c,"Nguyễn Hùng Mãnh, Trần Tấn Minh, Lê Đình Nguyên, Nguyễn Văn Sang",Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/z/3/z3266388208578_3932beb8c1b776272784b81d05b0d1ad.jpg,Luyện Thi THPT Quốc Gia 2022 - Khoa Học Tự Nhiên (Vật Lí - Hóa Học - Sinh Học),346,149.0,Cấp 3,NXB Dân Trí,2022,24 x 16 x 1.5 cm,https://www.fahasa.com/luyen-thi-thpt-quoc-gia-2022-khoa-hoc-tu-nhien-vat-li-hoa-hoc-sinh-hoc.html
